,TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT,PRE_COVID_DIP,BOTTOM_COVID_DIP,EOY_2021,CURRENT_PRICE,COVID_BOTTOM_TO_2021_TOP,COVID_BOTTOM_TO_2021_TOP_PERCENT,CURRENT_FROM_COVID_BOTTOM_PRICE,CURRENT_FROM_PRE_COVID_PRICE,VALUE_LEFT_TO_DECREASE,VALUE_LEFT_TO_DECREASE_PERCENT
2020,CNR.US,D,2020-02-14,000000,9.025,9.19,8.91,9.08,304839,0,9.08,2.99,17.44,24.61,14.450000000000001,4.832775919732441,21.619999999999997,15.53,21.619999999999997,723.0769230769229
4,AA.US,D,2020-02-14,000000,15.722,15.8498,15.3427,15.5922,4313638.2308175,0,15.5922,5.45274,59.412,44.78,53.95926,9.895806511955456,39.32726,29.187800000000003,39.32726,721.2384966090442
8668,TWI.US,D,2020-02-14,000000,2.3532,2.4529,2.2535,2.3332,479951,0,2.3332,1.735,10.96,14.18,9.225000000000001,5.317002881844381,12.445,11.8468,12.445,717.2910662824207
2860,EGY.US,D,2020-02-14,000000,2.08744,2.10724,2.04793,2.04793,124031.88383531,0,2.04793,0.848826,3.17578,6.88,2.326954,2.7413792697207677,6.031174,4.83207,6.031174,710.5312513989911
3396,FLNG.US,D,2020-02-14,000000,6.06156,6.0636,5.93162,5.98856,9766.3907959926,0,5.98856,3.36892,22.1697,27.14,18.80078,5.580654927988792,23.77108,21.15144,23.77108,705.5994205858258
5944,NEX.US,D,2020-02-14,000000,5.38,5.49,5.265,5.45,1046596,0,5.45,1.19,3.55,9.46,2.36,1.9831932773109244,8.270000000000001,4.010000000000001,8.270000000000001,694.9579831932774
2528,DKL.US,D,2020-02-14,000000,24.124,24.196,23.849,23.864,26936,0,23.864,6.4565,41.012,50.23,34.5555,5.352048323395029,43.7735,26.365999999999996,43.7735,677.9756834198095
2620,DQ.US,D,2020-02-14,000000,14.37,14.81,14.202,14.512,1516940,0,14.512,9.116,40.32,70.69,31.204,3.4229925405879773,61.574,56.178,61.574,675.4497586660816
1692,CEIX.US,D,2020-02-14,000000,7.6,7.64,6.78,7.04,908293,0,7.04,6.39,22.71,48.12,16.32,2.5539906103286385,41.73,41.08,41.73,653.0516431924882
3132,ESTE.US,D,2020-02-14,000000,4.55,4.58,4.3599,4.41,155786,0,4.41,1.81,10.94,13.57,9.129999999999999,5.044198895027623,11.76,9.16,11.76,649.7237569060773
5224,LXU.US,D,2020-02-14,000000,2.887,2.93,2.7,2.79,163463,0,2.79,1.7,11.05,12.74,9.350000000000001,5.500000000000001,11.040000000000001,9.95,11.040000000000001,649.4117647058824
