,TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT,PRE_COVID_DIP,BOTTOM_COVID_DIP,EOY_2021,CURRENT_PRICE,COVID_BOTTOM_TO_2021_TOP,COVID_BOTTOM_TO_2021_TOP_PERCENT,CURRENT_FROM_COVID_BOTTOM_PRICE,CURRENT_FROM_PRE_COVID_PRICE,VALUE_LEFT_TO_DECREASE,VALUE_LEFT_TO_DECREASE_PERCENT
192,AEHR.US,D,2020-02-14,000000,2.35,2.44,2.23,2.42,168570,0,2.42,1.23,24.18,6.94,22.95,18.65853658536585,5.710000000000001,4.5200000000000005,5.710000000000001,464.2276422764229
6132,NVAX.US,D,2020-02-14,000000,8.05,8.08,7.32,7.68,2732788,0,7.68,10.35,143.07,57.15,132.72,12.823188405797103,46.8,49.47,46.8,452.17391304347825
4612,IZEA.US,D,2020-02-14,000000,0.3071,0.3085,0.2949,0.2952,49903,0,0.2952,0.16,1.34,0.8817,1.1800000000000002,7.375000000000001,0.7217,0.5865,0.7217,451.0625
6692,PDSB.US,D,2020-02-14,000000,1.36,1.36,1.31,1.35,110111,0,1.35,0.67,8.1,3.69,7.43,11.089552238805968,3.02,2.34,3.02,450.74626865671644
6768,PFSW.US,D,2020-02-14,000000,4.32,4.499,4.32,4.41,12630,0,4.41,2.15,12.88,11.78,10.73,4.990697674418605,9.629999999999999,7.369999999999999,9.629999999999999,447.906976744186
4920,LAZY.US,D,2020-02-14,000000,4.21,4.33,4.21,4.2101,11616,0,4.2101,2.12,21.54,11.59,19.419999999999998,9.160377358490564,9.469999999999999,7.3799,9.469999999999999,446.6981132075471
1864,CHX.US,D,2020-02-14,000000,25.368,25.597,24.76,25.278,596641,0,25.278,3.6083,20.145,19.68,16.5367,4.582961505418064,16.0717,-5.597999999999999,16.0717,445.40919546600895
9164,VNOM.US,D,2020-02-14,000000,19.9404,20.6502,19.8955,20.4335,1024660.8277126,0,20.4335,5.07288,20.4764,27.3,15.403520000000002,3.0364447808739814,22.22712,6.866500000000002,22.22712,438.1558404693192
5696,MRNA.US,D,2020-02-14,000000,19.27,19.29,18.85,19,5384464,0,19.0,28.2,253.98,149.95,225.78,8.006382978723405,121.74999999999999,130.95,121.74999999999999,431.73758865248226
8260,STGW.US,D,2020-02-14,000000,2.41,2.41,2.31,2.35,145263,0,2.35,1.02,8.67,5.4,7.65,7.5,4.380000000000001,3.0500000000000003,4.380000000000001,429.41176470588243
160,ADNWW.US,D,2020-02-14,000000,0.42,0.42,0.42,0.42,25800,0,0.42,0.08,1.22,0.4234,1.14,14.249999999999998,0.3434,0.003400000000000014,0.3434,429.24999999999994
688,ARLP.US,D,2020-02-14,000000,7.4675,7.5042,7.164,7.3939,1321288,0,7.3939,3.5683,12.185,18.73,8.616700000000002,2.4147913572289332,15.1617,11.3361,15.1617,424.8998122355183
7508,RRR.US,D,2020-02-14,000000,25.153,25.338,24.337,24.43,274394,0,24.43,6.5945,54.692,34.23,48.0975,7.293577981651375,27.635499999999997,9.799999999999997,27.635499999999997,419.0689210705891
6868,PLUG.US,D,2020-02-14,000000,4.45,4.51,4.36,4.42,6548952,0,4.42,3.32,28.23,17.18,24.91,7.503012048192772,13.86,12.76,13.86,417.46987951807233
1056,BBQ.US,D,2020-02-14,000000,4.2204,4.7599,4.17,4.5,25966,0,4.5,2.0,15.84,10.32,13.84,6.92,8.32,5.82,8.32,416.0
564,AOSL.US,D,2020-02-14,000000,11.08,11.4,11.08,11.29,160748,0,11.29,5.88,60.56,30.12,54.68,9.299319727891156,24.240000000000002,18.830000000000002,24.240000000000002,412.24489795918373
3816,GROW.US,D,2020-02-14,000000,1.2061,1.2842,1.2061,1.2646,6566,0,1.2646,0.8779,4.3699,4.46,3.4920000000000004,3.9776739947602238,3.5821,3.1954000000000002,3.5821,408.03052739491966
5448,METC.US,D,2020-02-14,000000,3.0753,3.1249,2.9959,2.9959,33978,0,2.9959,2.5297,13.491,12.81,10.9613,4.333043443886627,10.2803,9.8141,10.2803,406.3841562240582
9172,VOXX.US,D,2020-02-14,000000,3.89,3.89,3.75,3.77,31057,0,3.77,1.83,10.17,9.25,8.34,4.557377049180328,7.42,5.48,7.42,405.4644808743169
8452,TBBK.US,D,2020-02-14,000000,13.16,13.31,13.08,13.28,269241,0,13.28,3.99,25.31,20.16,21.32,5.343358395989974,16.17,6.880000000000001,16.17,405.2631578947369
6068,NSYS.US,D,2020-02-14,000000,4.555,4.555,4.555,4.555,994,0,4.555,2.688,10.35,13.44,7.661999999999999,2.850446428571428,10.751999999999999,8.885,10.751999999999999,399.99999999999994
7084,PTSI.US,D,2020-02-14,000000,12.908,12.908,12.85,12.85,4948,0,12.85,5.625,35.505,28.01,29.880000000000003,5.312,22.385,15.160000000000002,22.385,397.9555555555556
5504,MHLD.US,D,2020-02-14,000000,0.8243,0.8428,0.8102,0.8399,59384,0,0.8399,0.402,3.06,2.0,2.658,6.611940298507462,1.5979999999999999,1.1601,1.5979999999999999,397.51243781094524
7656,SBLK.US,D,2020-02-14,000000,7.0278,7.2035,6.9986,7.1198,284308,0,7.1198,4.7227,21.163,23.4,16.4403,3.481123086370085,18.6773,16.2802,18.6773,395.4792809198128
3752,GOGL.US,D,2020-02-14,000000,3.5713,3.6253,3.5713,3.5948,299677,0,3.5948,2.2074,8.625,10.75,6.4176,2.9073117695025825,8.5426,7.1552,8.5426,386.9982785177132
1656,CDMO.US,D,2020-02-14,000000,6.8,6.83,6.61,6.8,216825,0,6.8,3.15,29.18,15.33,26.03,8.263492063492064,12.18,8.530000000000001,12.18,386.6666666666667
3108,FAT.US,D,2020-02-14,000000,3.63314,3.68978,3.63314,3.68978,617.3764906508,0,3.68978,1.54215,10.2392,7.5,8.69705,5.639561650941868,5.9578500000000005,3.81022,5.9578500000000005,386.3340142009533
2976,ESTA.US,D,2020-02-14,000000,25.04,25.16,24.45,24.84,44125,0,24.84,11.66,67.59,54.97,55.93000000000001,4.796740994854203,43.31,30.13,43.31,371.4408233276158
9548,XPEL.US,D,2020-02-14,000000,15.8,15.99,15.29,15.66,154269,0,15.66,9.66,68.28,45.31,58.620000000000005,6.06832298136646,35.650000000000006,29.650000000000002,35.650000000000006,369.0476190476191
7208,RAIL.US,D,2020-02-14,000000,1.74,1.74,1.59,1.67,36061,0,1.67,0.7615,3.69,3.57,2.9285,3.8456992777413004,2.8085,1.9,2.8085,368.81155613919896
7016,PRTS.US,D,2020-02-14,000000,2.66,2.79,2.64,2.73,46015,0,2.73,1.55,11.2,7.26,9.649999999999999,6.225806451612902,5.71,4.529999999999999,5.71,368.38709677419354
5148,LOVE.US,D,2020-02-14,000000,10.7,11.089,10.5,10.94,210833,0,10.94,6.11,66.26,28.45,60.150000000000006,9.844517184942717,22.34,17.509999999999998,22.34,365.63011456628476
5944,NFE.US,D,2020-02-14,000000,15.992,16.502,15.444,15.768,35189,0,15.768,8.5301,24.059,39.61,15.528900000000002,1.820482761046178,31.079900000000002,23.842,31.079900000000002,364.3556347522304
8268,STKL.US,D,2020-02-14,000000,2.72,2.75,2.67,2.7,214091,0,2.7,1.8,6.95,8.35,5.15,2.861111111111111,6.55,5.6499999999999995,6.55,363.88888888888886
4012,HIBB.US,D,2020-02-14,000000,23.639,23.717,22.978,23.037,262693,0,23.037,9.71,71.551,44.83,61.841,6.368795056642636,35.12,21.793,35.12,361.6889804325437
8408,TA.US,D,2020-02-14,000000,16.58,16.78,16.0401,16.51,39903,0,16.51,7.58,51.62,34.92,44.04,5.810026385224274,27.340000000000003,18.41,27.340000000000003,360.6860158311346
920,AVID.US,D,2020-02-14,000000,9,9.57,8.9,9.24,250065,0,9.24,5.71,32.57,26.1,26.86,4.704028021015762,20.39,16.86,20.39,357.09281961471106
2700,DVAX.US,D,2020-02-14,000000,5.2,5.22,5.06,5.18,706375,0,5.18,2.86,14.07,12.96,11.21,3.91958041958042,10.100000000000001,7.780000000000001,10.100000000000001,353.14685314685323
6720,PERI.US,D,2020-02-14,000000,8.63,9.53,8.63,9.01,1287914,0,9.01,4.08,24.05,18.32,19.97,4.894607843137255,14.24,9.31,14.24,349.01960784313724
6092,NTLA.US,D,2020-02-14,000000,14.94,14.94,13.81,13.86,982506,0,13.86,12.07,118.24,54.01,106.16999999999999,8.796188898094448,41.94,40.15,41.94,347.47307373653683
2732,DZSI.US,D,2020-02-14,000000,9.14,9.345,9.1,9.16,32867,0,9.16,3.58,16.22,15.97,12.639999999999999,3.5307262569832396,12.39,6.8100000000000005,12.39,346.08938547486036
2224,CROX.US,D,2020-02-14,000000,38.7,38.96,37.16,37.31,614182,0,37.31,10.77,128.22,47.95,117.45,10.905292479108637,37.18000000000001,10.64,37.18000000000001,345.21819870009296
6524,OXBR.US,D,2020-02-14,000000,1.2103,1.29,1.14,1.28,64813,0,1.28,0.74,5.62,3.26,4.88,6.594594594594595,2.5199999999999996,1.9799999999999998,2.5199999999999996,340.54054054054046
5808,MYRG.US,D,2020-02-14,000000,30.86,31.05,30.285,30.62,29640,0,30.62,19.59,110.55,86.25,90.96,4.643185298621746,66.66,55.629999999999995,66.66,340.27565084226643
608,APPS.US,D,2020-02-14,000000,7.15,7.3,6.61,6.77,2992538,0,6.77,3.91,60.99,17.19,57.08,14.59846547314578,13.280000000000001,10.420000000000002,13.280000000000001,339.6419437340154
7340,RELL.US,D,2020-02-14,000000,4.3903,4.7587,4.3903,4.6757,30181,0,4.6757,3.3227,13.39,14.52,10.0673,3.029855238209889,11.197299999999998,9.8443,11.197299999999998,336.9940108947542
2492,CZR.US,D,2020-02-14,000000,68.1,69.15,67.26,68.93,727208,0,68.93,8.82,93.53,38.53,84.71000000000001,9.604308390022677,29.71,-30.400000000000006,29.71,336.8480725623583
8356,SWIR.US,D,2020-02-14,000000,8.95,9.17,8.59,9.09,1497021,0,9.09,5.2,17.62,22.6,12.420000000000002,2.388461538461539,17.400000000000002,13.510000000000002,17.400000000000002,334.61538461538464
7072,PTMN.US,D,2020-02-14,000000,16.9668,17.1447,16.8919,17.1136,16341.53481079,0,17.1136,5.53282,23.4482,24.04,17.91538,3.238019671704483,18.507179999999998,6.9263999999999974,18.507179999999998,334.4981401889091
6840,PLAY.US,D,2020-02-14,000000,46.27,47.13,46.14,47.05,234413,0,47.05,7.76,38.4,33.71,30.64,3.948453608247423,25.950000000000003,-13.339999999999996,25.950000000000003,334.40721649484544
6356,ON.US,D,2020-02-14,000000,21.74,21.9,21.14,21.44,5629126,0,21.44,10.82,67.92,46.84,57.1,5.2772643253234754,36.02,25.400000000000002,36.02,332.90203327171906
2588,DLHC.US,D,2020-02-14,000000,4.6417,4.67,4.53,4.67,4058,0,4.67,3.46,20.72,14.95,17.259999999999998,4.988439306358381,11.489999999999998,10.28,11.489999999999998,332.0809248554913
4796,KNTK.US,D,2020-02-14,000000,18.1965,18.2855,16.68,17.6615,213098,0,17.6615,8.028,30.0295,34.59,22.0015,2.7405954160438464,26.562000000000005,16.928500000000003,26.562000000000005,330.86696562032887
2480,CYTK.US,D,2020-02-14,000000,15.5,16.06,14.75,14.85,1857731,0,14.85,9.55,45.58,41.0,36.03,3.7727748691099476,31.45,26.15,31.45,329.31937172774866
5488,MGPI.US,D,2020-02-14,000000,33.413,33.5878,33.1593,33.2772,93376.270040346,0,33.2772,23.876,84.7554,101.35,60.87939999999999,2.5498157145250455,77.47399999999999,68.0728,77.47399999999999,324.4848383313787
9060,VERU.US,D,2020-02-14,000000,4.31,4.33,4.19,4.22,250552,0,4.22,2.64,5.89,11.2,3.2499999999999996,1.2310606060606057,8.559999999999999,6.9799999999999995,8.559999999999999,324.2424242424242
944,AVXL.US,D,2020-02-14,000000,5.08,5.38,4.88,5,1969777,0,5.0,2.43,17.34,10.3,14.91,6.135802469135802,7.870000000000001,5.300000000000001,7.870000000000001,323.86831275720164
